date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:58	4216/4216	---MCZ	200	added ('OK')	text/css	etag:W/%225f080dc2-1078%22	https://colorlib.com/polygon/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css	D:/demo/colorlib.com/polygon/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:14:58	1735/1735	---MCZ	200	added ('OK')	text/css	etag:W/%225f080dcf-6c7%22	https://colorlib.com/polygon/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css	D:/demo/colorlib.com/polygon/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:14:58	328/328	---MCZ	200	added ('OK')	text/css	etag:W/%225f080dd9-148%22	https://colorlib.com/polygon/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css	D:/demo/colorlib.com/polygon/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:14:59	3921/3921	---MCZ	200	added ('OK')	text/css	etag:W/%225f080de9-f51%22	https://colorlib.com/polygon/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css	D:/demo/colorlib.com/polygon/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:14:59	414/414	---MCZ	200	added ('OK')	text/css	etag:W/%225f080df2-19e%22	https://colorlib.com/polygon/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css	D:/demo/colorlib.com/polygon/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:14:59	82638/82638	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080dbe-142ce%22	https://colorlib.com/polygon/vendors/datatables.net/js/jquery.dataTables.min.js	D:/demo/colorlib.com/polygon/vendors/datatables.net/js/jquery.dataTables.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:15:00	1964/1964	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080dc4-7ac%22	https://colorlib.com/polygon/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js	D:/demo/colorlib.com/polygon/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:15:01	16027/16027	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080dca-3e9b%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/dataTables.buttons.min.js	D:/demo/colorlib.com/polygon/vendors/datatables.net-buttons/js/dataTables.buttons.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:15:01	939/939	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080dd1-3ab%22	https://colorlib.com/polygon/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js	D:/demo/colorlib.com/polygon/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:15:01	22883/22883	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080dcb-5963%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.flash.min.js	D:/demo/colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.flash.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
18:15:01	21375/21375	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080dca-537f%22	https://colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.html5.min.js	D:/demo/colorlib.com/polygon/vendors/datatables.net-buttons/js/buttons.html5.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
